"org.ow2.jasmine.jade:jade-core",11,"org.ow2.jasmine.jade:org.ow2.jasmine.jade.legacy.apache"|"org.ow2.jasmine.jade.wrapper:JoramBundle"|"org.ow2.jasmine.jade:jadenode"|"org.ow2.jasmine.jade:org.ow2.jasmine.jade.legacy.jonas4"|"org.ow2.jasmine.jade:jadeboot"|"org.ow2.jasmine.jade.control:JoramOptimizationBundle"|"org.ow2.jasmine.jade:org.ow2.jasmine.jade.wrapper.jonas4"|"org.ow2.jasmine:mapping"|"org.objectweb.fractal.fscript:fscript-jade"|"org.ow2.jasmine.design:connection-ear"|"org.ow2.jasmine.jade.wrapper:org.ow2.jasmine.jade.wrapper.apache"|
"org.jruby:jruby",3,"org.mentaframework:mentawai"|"org.nanocontainer:nanocontainer-jruby"|"com.sun.script.jruby:jruby-engine"|
"org.objectweb.joram:jndi-shared",3,"org.objectweb.joram:joram-release"|"org.objectweb.joram:joram-assembly"|"org.objectweb.joram:jndi-client"|
"org.eclipse.jgit:org.eclipse.jgit",2,"org.jvnet.hudson.plugins:gerrit"|"org.openengsb.connector:openengsb-connector-git"|
"org.apache.karaf.deployer:org.apache.karaf.deployer.kar",1,"org.apache.karaf:apache-karaf"|
"org.milyn.edi.unedifact:d98a-mapping",1,"org.milyn.edi.unedifact:d98a-binding"|
"org.milyn.edi.unedifact:d05a-mapping",1,"org.milyn.edi.unedifact:d05a-binding"|
"org.ow2.jasmine.monitoring:jasmine-eos-rules-manager-client",2,"org.ow2.jasmine.monitoring:jasmine-eos-notificationeditor-client"|"org.ow2.jasmine.monitoring:jasmine-eos-autonomous-client"|
"org.wicketstuff:wicketstuff-objectautocomplete",1,"org.wicketstuff:wicketstuff-objectautocomplete-examples"|
"com.icegreen:greenmail",2,"org.sonatype.nexus:nexus-test-harness-base"|"org.sonatype.nexus:nexus-test-harness-launcher"|
"net.sf.sdedit:sdedit",1,"org.ow2.frascati.intent:frascati-intent-uml-sequence-diagram"|
"org.mortbay.jetty:jetty-hightide",2,"org.mortbay.jetty.dist:jetty-rpm"|"org.mortbay.jetty.dist:jetty-deb"|
